Symbol,Date,Close,High,Low,Open,Volume
GOOGL,2004-08-19,50.2161,52.0804,48.0265,50.0535,44662908
GOOGL,2004-08-20,54.2075,54.5928,50.2987,50.7892,22778271
GOOGL,2004-08-23,54.753,56.795,54.5778,55.4337,18234539
GOOGL,2004-08-24,52.4858,55.8541,51.8352,55.6739,15241412
GOOGL,2004-08-25,53.0514,54.0523,51.9903,52.5308,9130694
GOOGL,2004-08-26,54.0073,54.0273,52.3807,52.5258,7077252
GOOGL,2004-08-27,53.1264,54.3626,52.8962,54.1024,6201059
GOOGL,2004-08-30,51.0544,52.7961,51.0544,52.7961,5191609
GOOGL,2004-08-31,51.2346,51.9052,51.1295,51.9052,4922084
GOOGL,2004-09-01,50.1736,51.5349,49.8833,51.3998,9123695
GOOGL,2004-09-02,50.8042,51.2346,49.5179,49.593,15066623
GOOGL,2004-09-03,50.0535,50.9193,49.7081,50.5239,5149420
GOOGL,2004-09-06,50.0535,50.9193,49.7081,50.5239,0
GOOGL,2004-09-07,50.7992,51.0494,49.8533,50.5539,5854637
GOOGL,2004-09-08,51.1996,51.5649,50.2987,50.4188,4984022
GOOGL,2004-09-09,51.2046,51.4048,50.5489,51.2997,4061570
GOOGL,2004-09-10,52.716,53.3316,50.6991,50.8492,8691348
GOOGL,2004-09-13,53.8021,54.2575,53.2816,53.3667,7819667
GOOGL,2004-09-14,55.799,56.0543,53.4467,53.7721,10814415
GOOGL,2004-09-15,56.0543,57.1703,55.1534,55.3336,10593139
GOOGL,2004-09-16,57.0402,57.9561,55.8791,56.2244,9262557
GOOGL,2004-09-17,58.8019,58.8019,56.83,57.2654,9223099
GOOGL,2004-09-20,59.7378,60.8589,58.4416,58.5317,10620277
GOOGL,2004-09-21,58.9771,60.2683,58.8119,59.5577,7228801
GOOGL,2004-09-22,59.2474,59.893,58.4616,58.7819,7577499
GOOGL,2004-09-23,60.4685,61.3744,58.5667,59.4776,8527097
GOOGL,2004-09-24,59.9731,62.1101,59.938,61.3994,9124572
GOOGL,2004-09-27,59.1873,60.4986,58.9571,60.4986,7066788
GOOGL,2004-09-28,63.4915,63.7617,60.1632,60.6337,16877610
GOOGL,2004-09-29,65.6035,67.5754,63.1762,63.3263,30358548
GOOGL,2004-09-30,64.8628,66.2141,64.5625,65.0129,13444942
GOOGL,2004-10-01,66.3542,67.185,64.5124,65.4634,15071372
GOOGL,2004-10-04,67.5954,68.5013,67.0799,67.9758,13002079
GOOGL,2004-10-05,69.252,69.3321,66.1841,67.3952,14853991
GOOGL,2004-10-06,68.6064,69.2921,68.0659,68.9017,13342553
GOOGL,2004-10-07,69.4923,70.0078,68.3412,68.3462,14267999
GOOGL,2004-10-08,68.9317,69.9077,68.5764,69.4322,11041381
GOOGL,2004-10-11,67.6955,69.4973,66.9898,68.5714,10438559
GOOGL,2004-10-12,68.7666,68.8717,66.7646,67.3102,10988243
GOOGL,2004-10-13,70.5183,71.8445,70.1079,71.7294,19693688
GOOGL,2004-10-14,71.0688,71.259,69.3471,70.5783,10415264
GOOGL,2004-10-15,72.1248,72.8205,71.0438,72.5452,13136311
GOOGL,2004-10-18,74.6523,74.6723,70.6734,71.6694,13944682
GOOGL,2004-10-19,74.0417,76.2738,73.7464,75.3229,18070117
GOOGL,2004-10-20,70.3131,74.5672,69.8676,74.0417,22022187
GOOGL,2004-10-21,74.7624,75.1377,70.8786,72.1348,22704223
GOOGL,2004-10-22,86.2985,90.1723,82.1195,85.3026,73583030
GOOGL,2004-10-25,93.7908,97.3092,86.3586,87.0793,65487099
GOOGL,2004-10-26,90.9881,96.4133,90.0872,95.017,44584520
GOOGL,2004-10-27,93.0751,94.8518,90.9731,91.2333,26594737
GOOGL,2004-10-28,96.7436,97.2892,92.8899,93.4054,29298103
GOOGL,2004-10-29,95.4124,100.0719,95.3923,99.5313,42162243
GOOGL,2004-11-01,98.11,98.9308,95.7277,96.8437,24335506
GOOGL,2004-11-02,97.5294,99.7215,96.7637,99.4613,22639471
GOOGL,2004-11-03,95.9279,100.8977,95.4674,99.191,27625226
GOOGL,2004-11-04,92.4395,95.2922,91.7638,94.2162,28359355
GOOGL,2004-11-05,84.757,91.2383,84.3567,91.0882,39518736
GOOGL,2004-11-08,86.3586,87.805,84.7821,85.5478,22323286
GOOGL,2004-11-09,84.4317,87.6849,82.7151,86.2084,22299465
GOOGL,2004-11-10,84.0113,86.3436,83.2456,84.0814,21282204
GOOGL,2004-11-11,91.5987,91.964,83.8662,84.6469,29766076
GOOGL,2004-11-12,91.0882,94.992,88.7859,92.7047,33251513
GOOGL,2004-11-15,92.5246,94.2512,89.4616,90.3124,23646671
GOOGL,2004-11-16,86.3561,89.8219,85.4978,88.836,41615631
GOOGL,2004-11-17,86.3336,88.836,84.5819,84.5919,36129962
GOOGL,2004-11-18,83.8512,87.2945,82.9453,85.2826,33171372
GOOGL,2004-11-19,84.7821,85.0724,83.3407,84.6119,17430496
GOOGL,2004-11-22,82.63,84.8321,80.7331,84.4042,24720255
GOOGL,2004-11-23,83.8412,85.4978,83.3307,84.0363,24634870
